año,mes,ventas_usd,ventas_pen,operaciones,clientes
2023,1,241877.73,907041.47,29,5
2023,2,186828.37,700606.39,25,5
2023,3,232344.56,871292.1,29,5
2023,4,217371.94,815144.76,27,5
2023,5,200104.41,750391.52,28,5
2023,6,210389.45,788960.43,28,5
2023,7,205067.86,769004.49,28,5
2023,8,249409.1,935284.11,28,5
2023,9,230146.42,863049.04,28,5
2023,10,192501.03,721878.89,28,5
2023,11,184390.9,691465.87,27,5
2023,12,180400.05,676500.18,28,5
2024,1,246898.81,925870.53,29,5
2024,2,216112.4,810421.53,26,5
2024,3,220090.82,825340.56,29,5
2024,4,192654.28,722453.53,27,5
2024,5,204877.82,768291.82,28,5
2024,6,210609.38,789785.18,28,5
2024,7,214397.72,803991.46,28,5
2024,8,202801.37,760505.14,28,5
2024,9,203948.99,764808.71,27,5
2024,10,219757.74,824091.51,29,5
2024,11,216685.48,812570.53,27,5
2024,12,228072.52,855271.97,28,5
2025,1,206813.03,775548.88,29,5
2025,2,153617.74,576066.55,25,5
2025,3,195350.06,732562.71,29,5
2025,4,236162.7,885610.15,27,5
2025,5,215239.06,807146.48,28,5
2025,6,197351.67,740068.77,28,5
2025,7,207565.93,778372.23,28,5
2025,8,221710.08,831412.8,28,5
2025,9,236593.87,887227.0,27,5
2025,10,242662.64,909984.89,29,5
2025,11,228830.47,858114.31,27,5
2025,12,247754.42,929079.07,28,5
