cliente,fecha,servicio,producto,ubicacion,cantidad,monto_usd,monto_pen,año,mes
Cliente D,2023-01-01 00:00:00.000,Servicio 1,Producto A,Zona Norte,4,11386.16,42698.1,2023,1
Cliente E,2023-01-02 02:18:22.703,Servicio 1,Producto B,Zona Norte,12,2319.55,8698.31,2023,1
Cliente C,2023-01-03 04:36:45.405,Servicio 3,Producto C,Zona Sur,19,11705.19,43894.46,2023,1
Cliente E,2023-01-04 06:55:08.108,Servicio 2,Producto A,Zona Norte,2,3935.53,14758.24,2023,1
Cliente E,2023-01-05 09:13:30.811,Servicio 1,Producto C,Zona Norte,17,10322.2,38708.25,2023,1
Cliente B,2023-01-06 11:31:53.514,Servicio 3,Producto A,Zona Centro,11,8703.83,32639.36,2023,1
Cliente C,2023-01-07 13:50:16.216,Servicio 2,Producto B,Zona Centro,11,13972.6,52397.25,2023,1
Cliente C,2023-01-08 16:08:38.919,Servicio 1,Producto A,Zona Centro,16,6116.18,22935.68,2023,1
Cliente C,2023-01-09 18:27:01.622,Servicio 2,Producto A,Zona Centro,2,1459.4,5472.75,2023,1
Cliente E,2023-01-10 20:45:24.324,Servicio 3,Producto C,Zona Norte,2,777.75,2916.56,2023,1
Cliente D,2023-01-11 23:03:47.027,Servicio 1,Producto C,Zona Sur,8,12489.45,46835.44,2023,1
Cliente C,2023-01-13 01:22:09.730,Servicio 2,Producto B,Zona Norte,13,8108.67,30407.51,2023,1
Cliente E,2023-01-14 03:40:32.432,Servicio 1,Producto A,Zona Norte,10,11741.04,44028.9,2023,1
Cliente B,2023-01-15 05:58:55.135,Servicio 2,Producto A,Zona Norte,8,3899.17,14621.89,2023,1
Cliente D,2023-01-16 08:17:17.838,Servicio 3,Producto A,Zona Centro,4,5503.71,20638.91,2023,1
Cliente B,2023-01-17 10:35:40.541,Servicio 3,Producto B,Zona Centro,15,936.51,3511.91,2023,1
Cliente D,2023-01-18 12:54:03.243,Servicio 1,Producto B,Zona Centro,1,14441.64,54156.15,2023,1
Cliente E,2023-01-19 15:12:25.946,Servicio 2,Producto B,Zona Sur,11,10184.08,38190.3,2023,1
Cliente A,2023-01-20 17:30:48.649,Servicio 1,Producto B,Zona Norte,7,14031.47,52618.01,2023,1
Cliente D,2023-01-21 19:49:11.351,Servicio 1,Producto B,Zona Sur,17,4349.7,16311.38,2023,1
Cliente B,2023-01-22 22:07:34.054,Servicio 2,Producto C,Zona Centro,18,9366.22,35123.32,2023,1
Cliente E,2023-01-24 00:25:56.757,Servicio 2,Producto A,Zona Sur,12,10338.25,38768.44,2023,1
Cliente D,2023-01-25 02:44:19.459,Servicio 2,Producto A,Zona Norte,9,5104.47,19141.76,2023,1
Cliente A,2023-01-26 05:02:42.162,Servicio 3,Producto A,Zona Norte,5,12797.58,47990.92,2023,1
Cliente A,2023-01-27 07:21:04.865,Servicio 1,Producto A,Zona Centro,10,14233.84,53376.9,2023,1
Cliente C,2023-01-28 09:39:27.568,Servicio 1,Producto A,Zona Centro,4,13330.4,49989.0,2023,1
Cliente C,2023-01-29 11:57:50.270,Servicio 3,Producto A,Zona Sur,5,11216.47,42061.76,2023,1
Cliente B,2023-01-30 14:16:12.973,Servicio 2,Producto A,Zona Centro,10,4523.24,16962.15,2023,1
Cliente D,2023-01-31 16:34:35.676,Servicio 3,Producto A,Zona Centro,11,4583.43,17187.86,2023,1
Cliente D,2023-02-01 18:52:58.378,Servicio 3,Producto C,Zona Norte,10,14468.72,54257.7,2023,2
Cliente C,2023-02-02 21:11:21.081,Servicio 3,Producto A,Zona Centro,8,649.13,2434.24,2023,2
Cliente D,2023-02-03 23:29:43.784,Servicio 1,Producto C,Zona Centro,2,10882.72,40810.2,2023,2
Cliente D,2023-02-05 01:48:06.486,Servicio 3,Producto B,Zona Norte,8,10740.57,40277.14,2023,2
Cliente A,2023-02-06 04:06:29.189,Servicio 1,Producto A,Zona Norte,16,9529.0,35733.75,2023,2
Cliente C,2023-02-07 06:24:51.892,Servicio 1,Producto B,Zona Sur,5,14856.58,55712.18,2023,2
Cliente E,2023-02-08 08:43:14.595,Servicio 1,Producto B,Zona Centro,3,5022.25,18833.44,2023,2
Cliente C,2023-02-09 11:01:37.297,Servicio 2,Producto B,Zona Norte,12,5429.59,20360.96,2023,2
Cliente E,2023-02-10 13:20:00.000,Servicio 1,Producto C,Zona Sur,13,1644.62,6167.32,2023,2
Cliente A,2023-02-11 15:38:22.703,Servicio 1,Producto B,Zona Sur,13,6920.57,25952.14,2023,2
Cliente B,2023-02-12 17:56:45.405,Servicio 2,Producto B,Zona Centro,10,4285.2,16069.5,2023,2
Cliente D,2023-02-13 20:15:08.108,Servicio 1,Producto B,Zona Centro,4,5479.11,20546.66,2023,2
Cliente A,2023-02-14 22:33:30.811,Servicio 3,Producto A,Zona Sur,9,12601.29,47254.84,2023,2
Cliente D,2023-02-16 00:51:53.514,Servicio 3,Producto A,Zona Norte,2,14064.53,52741.99,2023,2
Cliente B,2023-02-17 03:10:16.216,Servicio 1,Producto C,Zona Sur,19,3193.13,11974.24,2023,2
Cliente B,2023-02-18 05:28:38.919,Servicio 2,Producto C,Zona Centro,1,5901.38,22130.18,2023,2
Cliente A,2023-02-19 07:47:01.622,Servicio 3,Producto A,Zona Norte,7,13965.14,52369.27,2023,2
Cliente B,2023-02-20 10:05:24.324,Servicio 2,Producto C,Zona Norte,17,1396.22,5235.82,2023,2
Cliente E,2023-02-21 12:23:47.027,Servicio 2,Producto A,Zona Sur,3,1839.23,6897.11,2023,2
Cliente B,2023-02-22 14:42:09.730,Servicio 3,Producto B,Zona Centro,3,2860.47,10726.76,2023,2
Cliente D,2023-02-23 17:00:32.432,Servicio 2,Producto B,Zona Sur,3,9130.59,34239.71,2023,2
Cliente D,2023-02-24 19:18:55.135,Servicio 3,Producto C,Zona Sur,17,2681.85,10056.94,2023,2
Cliente D,2023-02-25 21:37:17.838,Servicio 2,Producto A,Zona Sur,7,14537.11,54514.16,2023,2
Cliente D,2023-02-26 23:55:40.541,Servicio 3,Producto A,Zona Norte,14,6977.36,26165.1,2023,2
Cliente E,2023-02-28 02:14:03.243,Servicio 1,Producto C,Zona Norte,17,7772.01,29145.04,2023,2
Cliente C,2023-03-01 04:32:25.946,Servicio 3,Producto A,Zona Centro,18,4076.55,15287.06,2023,3
Cliente A,2023-03-02 06:50:48.649,Servicio 3,Producto B,Zona Centro,13,7328.92,27483.45,2023,3
